Time,JUNCTION-30,JUNCTION-16,JUNCTION-20,JUNCTION-45,JUNCTION-90
0.000000000000000000e+00,2.641051444335937504e+02,2.633543251464536183e+02,2.633575621582031658e+02,3.539470351873773666e+02,2.640412704565694639e+02
7.641262908917191739e-03,2.641051458763694768e+02,2.633543251464544710e+02,2.633575621937181381e+02,3.539470352848796324e+02,2.640412627716688689e+02
1.528252581783438348e-02,2.641051458764301856e+02,2.633543251464553236e+02,2.633575621936704465e+02,3.539470352848838388e+02,2.640412627716663110e+02
2.292378872675157608e-02,2.641051458765070379e+02,2.633543251464561763e+02,2.633575621936216749e+02,3.539470352848893526e+02,2.640412627716183920e+02
3.056505163566876696e-02,2.641051458765678035e+02,2.633543251464570858e+02,2.633575621935739832e+02,3.539470352848936727e+02,2.640412627716159477e+02
3.820631454458595783e-02,2.641051458766446558e+02,2.633543251464577679e+02,2.633575621935250410e+02,3.539470352848990160e+02,2.640412627715680287e+02
4.584757745350315217e-02,2.641051458767054214e+02,2.633543251464586774e+02,2.633575621934773494e+02,3.539470352849034498e+02,2.640412627715654139e+02
5.348884036242033957e-02,2.641051458767822169e+02,2.633543251464594732e+02,2.633575621934285209e+02,3.539470352849089068e+02,2.640412672647187833e+02
6.113010327133753391e-02,2.641051458768428688e+02,2.633543251464603827e+02,2.633575621933809430e+02,3.539470352849131132e+02,2.640412678726323747e+02
6.877136618025472825e-02,2.641051458769198348e+02,2.633543251464610648e+02,2.633575621933322850e+02,3.539470352849184565e+02,2.640412678726648892e+02
7.641262908917191565e-02,2.641051458769804867e+02,2.633543251464618606e+02,2.633575621932844797e+02,3.539470352849229471e+02,2.640412678726712556e+02
8.405389199808910305e-02,2.641051458770572822e+02,2.633543251464627701e+02,2.633575621932357080e+02,3.539470352849282335e+02,2.640412678727039406e+02
9.169515490700630433e-02,2.641051458771181046e+02,2.633543251464637933e+02,2.633575621931881869e+02,3.539470352849326105e+02,2.640412678727103071e+02
9.933641781592349174e-02,2.641051458771950138e+02,2.633543251464642481e+02,2.633575621931394153e+02,3.539470352849381243e+02,2.640412667459301588e+02
1.069776807248406791e-01,2.641051458772554383e+02,2.633543251464652712e+02,2.633575621930918373e+02,3.539470352849421033e+02,2.640412667459368663e+02
1.146189436337578804e-01,2.641051458773323475e+02,2.633543251464659534e+02,2.633575621930430657e+02,3.539470352849476740e+02,2.640412670990606330e+02
1.222602065426750678e-01,2.641051458773931131e+02,2.633543251464668629e+02,2.633575621929957151e+02,3.539470352849521078e+02,2.640412670991012192e+02
1.299014694515922552e-01,2.641051458774699086e+02,2.633543251464677155e+02,2.633575621929467729e+02,3.539470352849573942e+02,2.640412670991980804e+02
1.375427323605094565e-01,2.641051458775306173e+02,2.633543251464685682e+02,2.633575621928992518e+02,3.539470352849616006e+02,2.640412670992386666e+02
1.451839952694266300e-01,2.641051458776074128e+02,2.633543251464694777e+02,2.633575621928505939e+02,3.539470352849670007e+02,2.640412678016534755e+02
1.528252581783438313e-01,2.641051458776681784e+02,2.633543251464702735e+02,2.633575621928031296e+02,3.539470352849712071e+02,2.640412714396994147e+02
1.604665210872610326e-01,2.641051458777448033e+02,2.633543251464710693e+02,2.633575621927544717e+02,3.539470352849767778e+02,2.640412700759247855e+02
1.681077839961782061e-01,2.641051458778055689e+02,2.633543251464718651e+02,2.633575621927069506e+02,3.539470352849810979e+02,2.640412681818010583e+02
1.757490469050954074e-01,2.641051458778823076e+02,2.633543251464728314e+02,2.633575621926582926e+02,3.539470352849864980e+02,2.640412681819033764e+02
1.833903098140126087e-01,2.641051458779429595e+02,2.633543251464735704e+02,2.633575621926108283e+02,3.539470352849907613e+02,2.640412681819454974e+02
1.910315727229297822e-01,2.641051458780198118e+02,2.633543251464744799e+02,2.633575621925623409e+02,3.539470352849963319e+02,2.640412680059193349e+02
1.986728356318469835e-01,2.641051458780807479e+02,2.633543251464752757e+02,2.633575621925147630e+02,3.539470352850004247e+02,2.640412675827894304e+02
2.063140985407641848e-01,2.641051458781571455e+02,2.633543251464761852e+02,2.633575621924662187e+02,3.539470352850061090e+02,2.640412678996038380e+02
